 iteration 1
Iter = 	720	 relative error = 	0.91797	 diff_step = 	9711.5789	 diff = 	3667127.2893	 diff1 = 	3661974.4475	 diff2 = 	-0.78994	 diff3 = 	-55.477	 diff4 = 	-0.014097	 diff5 = 	2.5493	 diff6 = 	28.369	 diff7 = 	5178.2045	 diff8 = 	5206.5735
Iter = 	740	 relative error = 	0.9179	 diff_step = 	9305.0716	 diff = 	3666549.2425	 diff1 = 	3661454.1424	 diff2 = 	-0.78518	 diff3 = 	-55.1401	 diff4 = 	-0.014025	 diff5 = 	2.5618	 diff6 = 	28.2481	 diff7 = 	5120.2295	 diff8 = 	5148.4776
Iter = 	760	 relative error = 	0.91782	 diff_step = 	8919.8488	 diff = 	3666002.7907	 diff1 = 	3660964.149	 diff2 = 	-0.78051	 diff3 = 	-54.8091	 diff4 = 	-0.013953	 diff5 = 	2.5741	 diff6 = 	28.1285	 diff7 = 	5063.5427	 diff8 = 	5091.6712
Iter = 	780	 relative error = 	0.91775	 diff_step = 	8579.0533	 diff = 	3665486.0648	 diff1 = 	3660502.639	 diff2 = 	-0.77592	 diff3 = 	-54.484	 diff4 = 	-0.013883	 diff5 = 	2.5864	 diff6 = 	28.0102	 diff7 = 	5008.1029	 diff8 = 	5036.1132
Iter = 	800	 relative error = 	0.91768	 diff_step = 	8277.3197	 diff = 	3664997.5875	 diff1 = 	3660068.1759	 diff2 = 	-0.7714	 diff3 = 	-54.1644	 diff4 = 	-0.013813	 diff5 = 	2.5985	 diff6 = 	27.8933	 diff7 = 	4953.8693	 diff8 = 	4981.7626
Iter = 	820	 relative error = 	0.91762	 diff_step = 	7982.6045	 diff = 	3664536.3636	 diff1 = 	3659659.8032	 diff2 = 	-0.76697	 diff3 = 	-53.8501	 diff4 = 	-0.013745	 diff5 = 	2.6106	 diff6 = 	27.7776	 diff7 = 	4900.803	 diff8 = 	4928.5806
Iter = 	840	 relative error = 	0.91756	 diff_step = 	7689.6657	 diff = 	3664106.4943	 diff1 = 	3659281.6569	 diff2 = 	-0.7626	 diff3 = 	-53.5408	 diff4 = 	-0.013679	 diff5 = 	2.6226	 diff6 = 	27.6633	 diff7 = 	4848.8686	 diff8 = 	4876.5319
Iter = 	860	 relative error = 	0.9175	 diff_step = 	7357.0349	 diff = 	3663706.3457	 diff1 = 	3658932.1386	 diff2 = 	-0.75831	 diff3 = 	-53.2366	 diff4 = 	-0.013614	 diff5 = 	2.6344	 diff6 = 	27.5502	 diff7 = 	4798.0309	 diff8 = 	4825.5811
Iter = 	880	 relative error = 	0.91745	 diff_step = 	7054.944	 diff = 	3663329.9175	 diff1 = 	3658605.2817	 diff2 = 	-0.7541	 diff3 = 	-52.9372	 diff4 = 	-0.01355	 diff5 = 	2.6462	 diff6 = 	27.4384	 diff7 = 	4748.2561	 diff8 = 	4775.6945
Iter = 	900	 relative error = 	0.9174	 diff_step = 	6784.5345	 diff = 	3662973.5265	 diff1 = 	3658297.4354	 diff2 = 	-0.74995	 diff3 = 	-52.6426	 diff4 = 	-0.013488	 diff5 = 	2.6579	 diff6 = 	27.328	 diff7 = 	4699.5113	 diff8 = 	4726.8394
Iter = 	920	 relative error = 	0.91735	 diff_step = 	6535.6072	 diff = 	3662633.257	 diff1 = 	3658004.7148	 diff2 = 	-0.74586	 diff3 = 	-52.3527	 diff4 = 	-0.013427	 diff5 = 	2.6695	 diff6 = 	27.219	 diff7 = 	4651.7657	 diff8 = 	4678.9847
Iter = 	940	 relative error = 	0.9173	 diff_step = 	6316.5366	 diff = 	3662310.6393	 diff1 = 	3657728.6797	 diff2 = 	-0.74185	 diff3 = 	-52.0672	 diff4 = 	-0.013368	 diff5 = 	2.681	 diff6 = 	27.1114	 diff7 = 	4604.9897	 diff8 = 	4632.1011
Iter = 	960	 relative error = 	0.91726	 diff_step = 	6110.0895	 diff = 	3662002.7881	 diff1 = 	3657466.4735	 diff2 = 	-0.73789	 diff3 = 	-51.7864	 diff4 = 	-0.013311	 diff5 = 	2.6924	 diff6 = 	27.0051	 diff7 = 	4559.1547	 diff8 = 	4586.1599
Iter = 	980	 relative error = 	0.91722	 diff_step = 	5915.2041	 diff = 	3661711.486	 diff1 = 	3657219.9061	 diff2 = 	-0.734	 diff3 = 	-51.5104	 diff4 = 	-0.013253	 diff5 = 	2.7037	 diff6 = 	26.9001	 diff7 = 	4514.2336	 diff8 = 	4541.1337
Iter = 	1000	 relative error = 	0.91718	 diff_step = 	5729.0736	 diff = 	3661432.3794	 diff1 = 	3656984.6516	 diff2 = 	-0.73017	 diff3 = 	-51.2388	 diff4 = 	-0.013196	 diff5 = 	2.715	 diff6 = 	26.7963	 diff7 = 	4470.1986	 diff8 = 	4496.9949
