 iteration 1
Iter = 	620	 relative error = 	1.0412	 diff_step = 	2011.9556	 diff = 	5001130.031	 diff1 = 	4808563.9115	 diff2 = 	-76.4493	 diff3 = 	-0.51402	 diff4 = 	-1.4776	 diff5 = 	122550.0687	 diff6 = 	9353.1695	 diff7 = 	60741.3222	 diff8 = 	70094.4917
Iter = 	640	 relative error = 	1.0412	 diff_step = 	1866.2185	 diff = 	5001106.9872	 diff1 = 	4808535.1525	 diff2 = 	-76.3516	 diff3 = 	-0.51326	 diff4 = 	-1.4767	 diff5 = 	122615.5139	 diff6 = 	9360.1108	 diff7 = 	60674.5516	 diff8 = 	70034.6624
Iter = 	660	 relative error = 	1.0412	 diff_step = 	1736.5389	 diff = 	5001087.385	 diff1 = 	4808509.7023	 diff2 = 	-76.2649	 diff3 = 	-0.51258	 diff4 = 	-1.4758	 diff5 = 	122673.3723	 diff6 = 	9366.4521	 diff7 = 	60616.1116	 diff8 = 	69982.5638
Iter = 	680	 relative error = 	1.0411	 diff_step = 	1617.5076	 diff = 	5001070.7723	 diff1 = 	4808487.2544	 diff2 = 	-76.1877	 diff3 = 	-0.51198	 diff4 = 	-1.4751	 diff5 = 	122724.6106	 diff6 = 	9372.233	 diff7 = 	60564.849	 diff8 = 	69937.082
Iter = 	700	 relative error = 	1.0411	 diff_step = 	1506.713	 diff = 	5001056.6188	 diff1 = 	4808467.397	 diff2 = 	-76.119	 diff3 = 	-0.51144	 diff4 = 	-1.4745	 diff5 = 	122770.0419	 diff6 = 	9377.4944	 diff7 = 	60519.7905	 diff8 = 	69897.2849
Iter = 	720	 relative error = 	1.0411	 diff_step = 	1405.5211	 diff = 	5001044.5007	 diff1 = 	4808449.7822	 diff2 = 	-76.0577	 diff3 = 	-0.51096	 diff4 = 	-1.4739	 diff5 = 	122810.3756	 diff6 = 	9382.2766	 diff7 = 	60480.1089	 diff8 = 	69862.3855
Iter = 	740	 relative error = 	1.0411	 diff_step = 	1313.1332	 diff = 	5001034.0691	 diff1 = 	4808434.1101	 diff2 = 	-76.0031	 diff3 = 	-0.51053	 diff4 = 	-1.4734	 diff5 = 	122846.2274	 diff6 = 	9386.6178	 diff7 = 	60445.1008	 diff8 = 	69831.7186
Iter = 	760	 relative error = 	1.0411	 diff_step = 	1228.7321	 diff = 	5001025.0418	 diff1 = 	4808420.1274	 diff2 = 	-75.9543	 diff3 = 	-0.51015	 diff4 = 	-1.473	 diff5 = 	122878.1323	 diff6 = 	9390.5543	 diff7 = 	60414.1653	 diff8 = 	69804.7195
Iter = 	780	 relative error = 	1.0411	 diff_step = 	1149.7993	 diff = 	5001017.2449	 diff1 = 	4808407.6761	 diff2 = 	-75.9107	 diff3 = 	-0.50981	 diff4 = 	-1.4726	 diff5 = 	122906.556	 diff6 = 	9394.1193	 diff7 = 	60386.7866	 diff8 = 	69780.906
Iter = 	800	 relative error = 	1.0411	 diff_step = 	1075.3355	 diff = 	5001010.452	 diff1 = 	4808396.5299	 diff2 = 	-75.8718	 diff3 = 	-0.5095	 diff4 = 	-1.4723	 diff5 = 	122931.9078	 diff6 = 	9397.345	 diff7 = 	60362.5229	 diff8 = 	69759.8679
